cemented,uncemented,hybrid,reverse_hybrid
10.49544011,10.55200361,10.5225019,10.51135405
10.5447952,10.59458773,10.57380725,10.55620853
10.59144456,10.65597178,10.63322145,10.62435163
10.59587946,10.64175104,10.62373151,10.60719959
10.4777727,10.52601206,10.50952779,10.49261722
10.50605218,10.57643593,10.54684262,10.53857809
10.65760698,10.71394091,10.68306766,10.67398821
10.57757271,10.63394801,10.61303984,10.60456584
10.52452777,10.57586049,10.55814418,10.54061201
10.50332996,10.56482227,10.54462879,10.53064525
10.53023976,10.58363694,10.56666631,10.55782076
10.51514502,10.56724359,10.54096628,10.53345015
10.48177589,10.54851449,10.52115492,10.51287662
10.46159645,10.5151417,10.49742108,10.48539988
10.50351934,10.54739627,10.52424478,10.5164229
10.57305094,10.62736735,10.60957366,10.59517055
10.52214525,10.57835085,10.55246046,10.54677646
10.55420305,10.61241544,10.58848431,10.57464376
10.59023215,10.63718566,10.61932136,10.60980459
10.67424203,10.73304873,10.70441192,10.69941181
10.5173962,10.58700311,10.55451878,10.54895104
10.57721963,10.63586675,10.61628909,10.60025248
10.52787672,10.58539239,10.55946166,10.55509477
10.5538983,10.6063018,10.58061296,10.57361217
10.54763494,10.61049518,10.59163878,10.57282704
10.44696858,10.49827219,10.46993723,10.46876386
10.50667435,10.55905816,10.54426231,10.53204842
10.54159842,10.59248515,10.56706037,10.55746165
10.49696545,10.55254,10.53354663,10.52137703
10.56873165,10.62352779,10.60243077,10.59745136
10.53500428,10.58951417,10.5667536,10.56014571
10.52795934,10.58320598,10.56450289,10.54917494
10.56453686,10.61353021,10.59284429,10.57721479
10.47213003,10.52960301,10.51292926,10.49872922
10.46173396,10.51148779,10.48821103,10.48191289
10.4933662,10.53979156,10.52218014,10.51371881
10.51366929,10.56785855,10.54425149,10.53842312
10.5529892,10.60619612,10.58576287,10.56416005
10.48381052,10.54124494,10.51106457,10.50604142
10.51881313,10.58507446,10.56015361,10.5488587
10.46328458,10.52180369,10.49329407,10.48292105
10.48545735,10.53212513,10.51363891,10.50273413
10.49337265,10.55570041,10.53529637,10.53273557
10.50877624,10.5642699,10.54309988,10.53066309
10.48331587,10.5426488,10.52169985,10.50392853
10.4940497,10.55642067,10.53855249,10.52036567
10.58534311,10.64803801,10.61160237,10.60223812
10.48273936,10.53572166,10.51287114,10.50583598
10.53856011,10.60238162,10.57307265,10.56447272
10.50446043,10.55645521,10.53559879,10.52177125
10.51812699,10.57356805,10.54656054,10.53474923
10.54217132,10.59920688,10.57277539,10.5644078
10.55620401,10.6087753,10.59694365,10.57620844
10.49559353,10.55188377,10.52913529,10.51880451
10.43130602,10.48578142,10.46888087,10.44900504
10.53084234,10.58492485,10.56607326,10.55031191
10.5206179,10.57395225,10.546938,10.53873008
10.5446664,10.5984114,10.58167484,10.56360775
10.39129397,10.44516567,10.42897366,10.42154482
10.4557595,10.51689588,10.48934473,10.47460821
10.56026567,10.60864649,10.59007056,10.57412829
10.52615874,10.59508362,10.57104779,10.56028406
10.48654324,10.53823047,10.5110602,10.50776522
10.49836396,10.55375654,10.52185925,10.51675953
10.46439416,10.51200348,10.49605906,10.47628262
10.59823056,10.66158326,10.6325254,10.62791618
10.55697879,10.61893179,10.59103288,10.58255079
10.46243906,10.51998518,10.4965715,10.48291507
10.46606579,10.51803209,10.49995386,10.48727427
10.45023083,10.51500212,10.48253771,10.47940833
10.63116031,10.69919138,10.67196625,10.65557853
10.57905127,10.64404337,10.61393336,10.61023001
10.5549723,10.61106164,10.58824199,10.57747937
10.46599709,10.51034809,10.49341452,10.47580752
10.59517437,10.65837316,10.62781483,10.62503568
10.48884277,10.54234892,10.52369216,10.51080768
10.49185628,10.55464009,10.53152285,10.52054424
10.54520608,10.60242859,10.58537076,10.5663324
10.56392116,10.62236845,10.58939893,10.57904574
10.55260885,10.61553813,10.58303773,10.58313575
10.60363568,10.66407691,10.63898287,10.62586371
10.5269857,10.58683692,10.5631953,10.54632251
10.51550709,10.56851363,10.54749642,10.53385115
10.5263563,10.57568157,10.54496273,10.53837278
10.50698516,10.5651367,10.54375617,10.5316671
10.51892217,10.57191141,10.54552336,10.54072566
10.4925972,10.56111581,10.53327872,10.52325845
10.52527967,10.58742799,10.55957258,10.54906843
10.50604685,10.55761539,10.5353638,10.52429546
10.52450334,10.58894937,10.56367265,10.55386985
10.50516608,10.56098362,10.53389289,10.52894447
10.52234439,10.5787246,10.56292025,10.54077615
10.48934184,10.54462478,10.52282506,10.51436676
10.48285577,10.53413524,10.52835102,10.50429703
10.48646085,10.53473559,10.51150899,10.50098865
10.53223039,10.58213189,10.55853893,10.552461
10.60548259,10.66624919,10.64371257,10.63853223
10.50848145,10.56720313,10.54070583,10.53705709
10.4787604,10.53621639,10.51019406,10.50666002
10.5399076,10.60262898,10.5786563,10.55253821
10.60597963,10.67013911,10.64912432,10.63335331
10.46703137,10.52263039,10.50389484,10.49405501
10.59822482,10.65331226,10.62980704,10.6130219
10.56232589,10.61937186,10.59275722,10.58161324
10.42957114,10.48332857,10.46430422,10.45190962
10.5482652,10.59856149,10.5816479,10.57267783
10.54093395,10.59402611,10.57291534,10.56105555
10.56540781,10.61055931,10.59021472,10.58583343
10.59877482,10.66574262,10.62601988,10.63107502
10.48225572,10.5486671,10.52060017,10.50533023
10.5344847,10.59356859,10.56493082,10.55710743
10.57345333,10.6396077,10.61039349,10.60006817
10.40842863,10.46405561,10.44171791,10.43362015
10.52319219,10.57190214,10.54923744,10.54385265
10.49253707,10.55147596,10.52677244,10.51131217
10.55057386,10.60563572,10.58304061,10.56538335
10.53580169,10.59550962,10.56184842,10.55030093
10.5542533,10.60648226,10.58450412,10.5750029
10.50135891,10.56012258,10.53250595,10.52364975
10.51052571,10.56632413,10.55024068,10.54339457
10.53865861,10.59109893,10.57210861,10.56751429
10.39221372,10.44719656,10.42371486,10.40361967
10.50106895,10.56397617,10.54114934,10.53883232
10.61415019,10.67741973,10.64410937,10.63275428
10.56855661,10.62277444,10.60118477,10.59387893
10.53924983,10.58866228,10.56498763,10.55713638
10.53496569,10.59554068,10.57258283,10.5663939
10.43898705,10.49753008,10.48100934,10.45703367
10.53203648,10.5890509,10.5747316,10.55126575
10.58184928,10.63839994,10.61895806,10.60670076
10.51618421,10.5799677,10.55538679,10.53957346
10.58199332,10.63152958,10.61426356,10.6084133
10.61304228,10.66751576,10.64320006,10.62825537
10.46297353,10.51139185,10.4882878,10.47733677
10.53910659,10.59919085,10.56537671,10.55981798
10.52462127,10.57882017,10.56195461,10.54919042
10.50290167,10.565528,10.54246317,10.5303703
10.583368,10.6452851,10.61224463,10.60783671
10.47953087,10.53300296,10.51391029,10.50471916
10.48969503,10.54259864,10.52277563,10.51479095
10.57375809,10.63471715,10.60119886,10.59905539
10.47944132,10.52965089,10.5070395,10.50055076
10.53162674,10.58632497,10.55531277,10.54100673
10.44089042,10.48216088,10.46702875,10.45832437
10.53458392,10.5862491,10.56355095,10.5415137
10.54655528,10.60827904,10.58616061,10.57302502
10.5689402,10.62225894,10.59818835,10.5963827
10.56023156,10.61833002,10.59149024,10.58201814
10.53808615,10.60004702,10.57193519,10.55953297
10.45178228,10.51510421,10.49421972,10.48164532
10.59825621,10.65867942,10.63474635,10.6248893
10.52023256,10.57799374,10.55323835,10.54591485
10.46490985,10.52882995,10.5068692,10.50111327
10.48256513,10.52559451,10.50747676,10.49752006
10.50493036,10.55900254,10.5385616,10.53011859
10.46012985,10.50947542,10.48439547,10.47132666
10.52895597,10.58673947,10.55996402,10.54763474
10.61003228,10.65498292,10.63288582,10.62928605
10.56043029,10.61558467,10.58821242,10.57830725
10.58339121,10.63609628,10.61913888,10.60183389
10.53072854,10.59164468,10.56790471,10.5493584
10.52339737,10.58152894,10.56103426,10.54353852
10.56796143,10.6343765,10.61203515,10.59264806
10.56063664,10.62018599,10.59958275,10.58389745
10.53691331,10.58397305,10.56357584,10.55182534
10.50895779,10.56945603,10.54523044,10.5341857
10.50721935,10.55837187,10.53288669,10.51935898
10.46070466,10.51223379,10.49089663,10.48306089
10.60212545,10.67300245,10.64551917,10.62796671
10.55209451,10.60414657,10.58491257,10.56961521
10.45463808,10.50657033,10.48739382,10.47261593
10.4651183,10.52733337,10.50425643,10.49033694
10.54008902,10.60188074,10.57174585,10.55936174
10.5208537,10.57838859,10.55935983,10.5395052
10.61364163,10.67425206,10.64968487,10.63639281
10.52200945,10.57348123,10.55220285,10.54218797
10.49586056,10.54775376,10.52550446,10.51562517
10.58489987,10.6388612,10.61424214,10.60712614
10.39361745,10.44406974,10.42568516,10.41808942
10.46493879,10.5219243,10.49173316,10.47681631
10.52378142,10.58370748,10.56643119,10.55288184
10.54601413,10.59535494,10.57369352,10.56712784
10.57782862,10.62262835,10.60367536,10.58482591
10.52442434,10.58776096,10.55710543,10.55206754
10.55354575,10.59854987,10.57708605,10.57100763
10.53840768,10.59857382,10.58478577,10.57477206
10.43509164,10.49160091,10.47493279,10.46860722
10.50454595,10.55754133,10.53240059,10.52159843
10.5451046,10.5950823,10.57254628,10.5630982
10.52834239,10.58236893,10.55767723,10.54280651
10.48228967,10.53614493,10.517832,10.50498061
10.37541505,10.42091141,10.39946837,10.39230347
10.47833063,10.54272398,10.52340638,10.50846691
10.52968648,10.57516813,10.55263706,10.54797927
10.47272056,10.52108234,10.5065957,10.48815691
10.44363386,10.50311764,10.47935944,10.46644264
10.6209544,10.6794935,10.65823308,10.640263
10.49213718,10.54878566,10.52430768,10.51503084
