cemented,uncemented,hybrid,reverse_hybrid
1547.094591,2902.71874,2228.877498,2103.526911
1624.383063,2917.42721,2254.890707,2138.724341
1570.164044,2912.377131,2213.30343,2112.412959
1600.474164,2918.491987,2231.532843,2137.523361
1573.525833,2940.896716,2226.779935,2131.415466
1576.177784,2893.651401,2253.8,2170.32948
1552.899598,2918.642735,2243.416567,2165.428775
1573.066052,2926.155133,2263.367878,2159.92884
1580.156947,2936.450554,2272.380795,2211.308319
1540.533596,2916.638686,2233.101312,2133.707552
1541.542247,2900.812331,2251.984806,2163.861507
1538.401629,2883.384602,2243.276499,2148.404558
1511.998072,2898.615339,2211.36356,2146.337376
1644.051967,2925.553932,2259.731993,2156.665499
1509.607349,2917.379644,2215.820245,2144.878479
1558.844985,2960.955771,2249.959189,2178.840229
1608.386737,2894.363851,2250.343467,2139.745848
1538.304142,2897.874761,2257.292015,2149.842402
1571.397676,2924.924202,2238.669145,2129.241586
1550.666514,2933.791536,2230.149297,2163.459646
1599.298615,2915.072781,2229.511551,2149.99761
1537.130431,2888.893753,2188.517451,2083.638683
1561.382104,2921.848907,2269.002009,2156.868707
1595.306868,2897.471564,2243.186135,2132.860342
1538.793707,2884.989921,2190.126515,2102.866696
1507.271432,2923.746151,2247.541092,2134.584426
1555.001998,2919.464107,2217.632943,2137.063241
1562.507725,2905.322218,2248.86154,2126.902017
1563.135413,2903.56976,2233.839271,2151.672989
1554.124808,2940.631924,2244.435521,2142.793066
1549.709984,2880.885555,2237.67518,2112.077706
1598.598397,2898.604113,2263.908108,2139.302616
1578.052709,2926.742136,2231.853903,2157.791156
1585.276859,2927.795512,2268.632789,2139.461501
1554.244113,2918.570001,2260.008722,2144.488925
1617.612727,2931.906649,2237.842504,2181.355345
1539.943265,2906.228692,2263.091598,2118.120561
1564.839641,2922.475238,2210.582032,2123.128306
1512.1794,2899.123215,2231.737675,2126.560432
1574.864778,2920.5493,2228.923528,2140.201983
1555.003846,2915.083408,2230.207043,2103.745964
1555.610687,2911.537911,2237.187667,2119.416425
1568.733861,2931.666708,2233.264354,2156.371617
1488.431871,2870.5082,2186.371926,2114.423167
1591.285541,2927.219475,2223.739073,2145.438018
1571.525685,2951.528037,2279.664235,2160.304864
1557.717431,2940.403248,2245.395117,2139.477805
1564.083138,2924.594251,2253.197309,2131.184361
1555.397358,2921.366596,2233.945256,2190.091547
1525.603025,2872.389254,2232.446539,2106.204761
1612.090403,2892.064866,2235.040152,2143.724334
1547.112489,2895.314714,2243.828039,2142.754998
1537.294815,2932.708587,2236.784512,2140.596116
1609.702576,2917.982164,2234.56042,2096.793322
1561.392855,2914.338054,2231.241724,2142.335749
1561.646528,2893.349647,2209.901233,2148.245262
1593.220755,2900.852428,2204.453252,2147.501281
1593.574308,2913.711892,2305.05754,2200.288396
1567.75058,2934.680125,2259.326453,2143.258368
1590.821741,2906.204863,2261.976432,2153.362766
1528.865008,2895.612144,2212.409318,2131.404118
1550.544574,2919.194911,2257.706336,2162.353509
1550.822121,2904.570711,2243.806843,2133.325924
1563.122373,2921.582572,2193.850075,2150.005798
1544.282339,2901.893029,2223.178117,2122.170328
1546.414133,2914.601702,2206.999068,2151.528149
1533.721327,2896.641107,2200.931563,2127.770195
1545.575711,2903.19447,2252.366365,2143.263274
1542.722859,2906.712233,2200.727163,2139.161731
1591.578588,2932.439402,2230.544782,2119.451044
1593.84895,2892.49395,2253.125921,2181.954612
1550.16165,2938.268415,2242.304642,2170.990729
1581.001474,2874.200396,2202.95507,2104.582774
1552.746205,2924.75943,2271.556665,2136.997606
1560.92742,2884.073457,2272.034912,2149.261392
1547.756757,2931.460482,2225.102676,2176.38687
1574.14876,2895.412084,2248.293283,2119.756288
1573.694892,2893.300247,2244.3476,2135.83878
1544.244628,2906.404065,2226.577229,2139.129481
1543.264727,2901.589986,2207.305329,2122.606388
1596.509703,2901.434903,2275.665144,2140.36806
1598.842521,2899.628333,2242.667957,2170.959137
1568.433147,2901.686505,2250.412786,2116.322821
1550.532629,2902.078588,2226.591314,2129.021204
1528.025714,2933.562325,2230.399147,2168.473053
1582.215477,2905.695962,2265.16313,2127.641764
1562.318968,2928.918537,2231.949689,2144.389901
1589.86394,2904.333466,2231.781619,2135.974566
1554.726154,2897.162172,2194.086628,2138.784494
1525.740169,2874.501084,2244.377942,2143.14475
1578.551821,2893.229359,2267.352224,2115.861123
1599.861205,2925.70945,2263.234474,2178.242267
1572.396737,2912.455685,2238.215849,2168.934331
1524.506785,2885.945795,2203.641656,2121.765019
1519.363869,2897.273685,2265.446234,2148.088157
1594.973351,2942.49556,2257.56624,2165.301214
1526.454285,2892.950854,2235.37991,2108.231383
1585.585903,2877.917591,2226.432784,2124.822388
1569.597858,2890.987297,2240.582119,2141.730643
1571.37712,2924.673645,2255.282225,2163.657814
1577.709694,2898.864938,2231.266261,2127.25525
1554.693945,2896.266745,2247.50172,2122.066656
1573.652748,2922.844465,2212.747198,2172.055756
1578.946641,2920.84039,2245.671588,2138.760333
1582.897958,2957.675635,2197.537485,2166.36135
1514.350855,2899.441162,2228.45531,2130.799378
1538.557485,2915.004216,2246.069223,2125.945568
1603.538132,2945.803852,2263.731033,2137.273968
1558.236493,2901.972959,2242.384411,2109.173866
1598.77076,2936.697141,2280.217429,2147.184458
1579.511027,2895.858709,2226.988673,2206.518798
1605.928716,2914.757953,2231.210807,2159.186319
1578.235325,2922.288857,2229.860451,2129.492311
1543.629581,2905.781342,2231.270715,2161.844549
1567.947802,2918.686232,2260.19101,2163.723369
1560.502197,2899.755534,2213.875857,2129.92633
1574.569643,2938.711768,2239.292039,2135.727666
1543.780979,2902.650156,2221.665191,2131.227243
1545.185367,2944.902298,2259.810757,2131.156462
1599.437432,2913.757842,2312.27425,2137.454037
1590.526362,2890.004974,2240.999156,2165.974207
1562.692934,2893.223798,2249.633954,2138.273271
1549.741549,2866.528494,2216.123975,2114.003245
1573.057412,2911.525146,2239.834259,2131.280955
1544.558291,2929.296154,2254.588692,2130.69886
1587.846777,2904.514703,2247.113663,2178.274879
1544.177632,2912.07107,2230.818307,2163.835413
1534.247479,2884.093545,2253.265339,2156.388803
1523.608618,2880.166354,2206.455478,2105.194876
1552.763144,2902.001428,2245.176616,2136.477454
1583.244756,2912.72229,2210.56127,2096.472372
1604.196153,2980.977224,2283.838889,2155.035195
1568.589342,2917.764872,2248.917989,2200.481901
1629.15058,2949.178633,2272.900737,2133.327024
1571.939015,2893.738738,2267.272415,2171.540386
1576.795056,2931.259838,2252.190219,2138.326789
1512.257428,2891.715705,2222.942113,2111.737399
1603.952062,2931.864644,2257.595448,2137.474298
1588.321969,2928.659637,2221.599551,2189.238335
1567.948157,2916.071082,2198.037605,2163.084656
1572.55176,2915.829429,2225.614599,2136.780967
1597.273307,2900.018563,2237.420038,2167.548388
1524.900747,2911.586665,2207.550646,2085.301223
1543.499004,2899.847979,2233.210664,2157.247272
1511.276974,2890.040886,2221.10782,2126.901367
1531.494966,2862.819986,2242.164473,2118.775614
1583.480966,2945.87551,2240.326421,2152.377133
1561.879365,2894.410226,2215.201747,2121.655679
1557.971523,2903.567836,2266.565926,2135.803635
1596.941032,2947.806572,2258.671139,2155.667527
1568.601971,2925.930618,2239.307997,2129.475397
1543.233111,2884.885076,2254.677751,2113.812112
1560.372308,2922.063637,2254.101764,2137.772977
1560.243879,2914.272493,2281.951792,2203.04145
1541.321886,2947.935975,2240.978875,2137.100328
1525.301953,2908.671322,2228.197232,2182.303508
1568.247592,2890.675369,2212.15781,2126.630593
1563.813374,2935.419774,2263.253277,2121.005458
1551.351826,2890.579709,2236.153156,2132.545392
1573.534984,2891.314332,2244.257178,2155.727134
1595.948548,2903.744585,2221.288573,2134.306932
1592.29465,2933.623226,2259.193708,2155.292883
1547.637524,2893.086071,2226.272936,2111.353093
1591.678945,2904.809287,2224.943109,2102.500814
1529.961176,2934.309797,2240.465069,2141.669303
1581.070182,2941.677528,2254.713118,2145.788568
1527.638172,2911.179813,2247.618806,2161.839081
1540.214108,2899.272882,2236.032409,2142.817853
1544.618207,2946.395063,2269.734476,2137.008224
1541.647852,2896.07924,2244.066577,2142.527957
1542.53183,2914.689096,2208.814256,2142.480619
1594.759602,2921.512178,2250.939439,2192.23876
1580.22541,2919.166375,2233.002554,2169.600463
1620.409767,2932.294806,2250.550229,2192.422115
1553.329978,2896.666377,2207.066597,2131.585324
1526.937481,2904.103839,2224.876611,2136.985484
1593.836851,2915.292387,2250.097567,2155.429726
1524.400103,2888.858598,2232.363752,2151.531358
1562.550617,2934.149446,2252.331527,2140.627469
1598.341355,2897.209343,2236.892866,2167.890045
1523.742062,2900.100952,2205.002358,2128.536648
1547.267328,2915.991841,2223.65489,2146.998613
1617.192641,2947.837201,2270.106449,2186.089667
1550.065859,2880.688706,2237.952349,2146.91586
1540.031886,2890.529202,2194.175149,2139.626433
1588.14378,2933.881881,2260.314718,2171.648628
1562.396154,2922.175999,2245.09633,2146.669635
1570.308733,2939.616842,2262.575386,2161.198405
1538.804187,2910.350468,2239.46853,2122.546753
1565.921318,2933.080455,2240.042743,2128.628745
1551.963864,2899.164843,2260.226531,2183.174844
1607.457609,2940.852193,2237.567474,2153.67521
1535.536936,2918.58521,2238.177387,2120.037727
1522.364765,2929.413748,2234.881047,2177.620597
1570.914931,2882.446516,2247.881308,2122.208372
1506.456899,2899.828946,2223.841031,2104.793386
1603.586396,2933.167238,2213.193173,2112.256979
1585.52709,2925.045057,2221.932313,2103.481614
1565.825375,2910.710068,2257.190305,2164.278287
1529.362597,2913.285258,2235.42243,2130.93029
1560.53779,2920.294178,2255.013285,2178.353454
1575.688087,2916.91056,2226.32189,2144.251165
1543.53761,2933.3579,2257.720296,2144.534269
1620.217416,2934.992461,2240.791251,2162.968029
1523.596729,2915.617729,2244.679132,2118.044208
1514.185109,2905.023108,2187.805529,2127.995533
1595.753124,2914.292104,2249.962054,2166.591585
1559.618447,2905.574386,2219.959374,2156.144267
1586.626055,2925.86171,2262.739555,2159.351252
1592.340396,2941.753329,2272.46185,2149.576897
1587.389601,2910.866218,2256.353545,2147.184273
1609.186041,2940.119034,2234.200365,2162.786762
1538.141052,2895.486272,2235.260121,2109.221453
1534.314482,2906.774865,2223.841088,2144.915266
1568.332214,2912.962816,2214.658809,2121.711421
1574.667508,2891.870957,2221.629612,2125.401621
1528.231937,2929.920725,2276.973936,2177.912404
1549.897605,2941.387047,2253.094956,2175.397851
1549.113966,2921.140268,2241.503806,2155.574136
1577.542996,2915.487233,2245.877088,2141.041962
1588.17658,2895.211587,2235.324054,2119.580863
1548.294596,2894.877491,2239.422507,2129.7332
1577.99219,2911.555214,2234.411621,2173.65079
1578.51558,2925.553309,2219.126502,2126.815202
1531.931003,2905.303967,2234.018706,2138.443146
1551.39397,2943.798129,2272.967604,2136.348684
1541.380194,2908.949967,2197.828215,2148.214033
1549.198142,2900.756942,2233.352282,2174.596435
1558.912567,2901.95856,2205.381697,2130.14048
1556.858496,2910.944318,2277.298363,2155.060726
1547.026765,2925.984478,2226.389582,2171.087042
1583.502339,2910.171013,2234.454293,2153.293026
1566.975696,2904.72001,2217.433469,2137.945789
1540.855854,2900.391028,2230.144193,2121.858552
1567.857781,2920.742493,2229.254884,2162.975082
1572.124626,2904.453223,2223.771572,2130.528576
1562.377375,2916.625047,2253.491502,2134.712594
1582.108419,2893.141105,2263.074718,2126.287889
1553.189401,2913.298881,2259.875532,2124.785278
1566.515016,2931.517803,2227.107093,2137.248618
1513.915282,2885.031569,2303.44967,2114.608486
1569.714496,2915.45387,2231.452789,2145.031255
1588.682341,2934.872848,2243.620442,2171.379318
1597.666654,2929.351105,2251.165636,2175.442324
1542.733056,2918.823996,2206.610625,2136.951654
1597.095414,2921.797777,2228.115939,2169.279273
1609.028787,2900.798101,2209.035837,2190.904036
1566.7035,2944.063653,2274.517372,2149.756783
1634.723218,2925.977099,2283.229836,2176.591457
1548.477442,2933.273194,2255.293009,2140.45128
1584.728687,2930.61488,2246.687598,2124.807163
1524.215922,2927.936064,2193.105035,2168.178114
1534.433138,2941.672538,2216.500735,2150.525424
